scientificName	taxonRank	scientificNameAuthorship	parentNameUsage	acceptedNameUsage	nomenclaturalStatus
Kewaceae	family	Christenh.	Caryophyllales		
Limeaceae	family	Shipunov ex Reveal	Caryophyllales		
Lophiocarpaceae	family	Doweld & Reveal 	Caryophyllales		
Macarthuriaceae	family	Christenh.	Caryophyllales		
Microteaceae	family	Schäferhoff & Borsch	Caryophyllales		
Molluginaceae	family	Bartl.	Caryophyllales		nom. cons.
Montiaceae	family	Raf. 	Caryophyllales		
Nepenthaceae	family	Dumort	Caryophyllales		nom. cons.
Nyctaginaceae	family	Juss.	Caryophyllales		nom. cons.
Physenaceae	family	Takht.	Caryophyllales		
Phytolaccaceae	family	R.Br.	Caryophyllales		nom. cons.
Plumbaginaceae	family	Juss.	Caryophyllales		nom. cons.
Polygonaceae	family	Juss.	Caryophyllales		nom. cons.
Portulacaceae	family	Juss.	Caryophyllales		nom. cons.
Rhabdodendraceae	family	Prance	Caryophyllales		
Rivinaceae	family	C.Agardh	Caryophyllales		
Sarcobataceae	family	Behnke	Caryophyllales		
Simmondsiaceae	family	Tiegh.	Caryophyllales		
Stegnospermataceae	family	Nakai	Caryophyllales		
Talinaceae	family	Doweld	Caryophyllales		
Tamaricaceae	family	Link	Caryophyllales		nom. cons.
asterids	clade		superasterids		
Cornales	order	Link	asterids		
Cornaceae	family	Bercht. & J.Presl	Cornales		nom. cons.
Curtisiaceae	family	Takht.	Cornales		
Grubbiaceae	family	Endl. ex Meisn.	Cornales		nom. cons.
Hydrangeaceae	family	Dumort.	Cornales		nom. cons.
Hydrostachyaceae	family	Engl.	Cornales		nom. cons.
Loasaceae	family	Juss.	Cornales		nom. cons.
Nyssaceae	family	Juss. ex Dumort.	Cornales		nom. cons.
Ericales	order	Bercht. & J.Presl	asterids		
Actinidiaceae	family	Gilg & Werderm.	Ericales		nom. cons.
Balsaminaceae	family	A.Rich.	Ericales		nom. cons.
Clethraceae	family	Klotzsch	Ericales		nom. cons.
Cyrillaceae	family	Lindl.	Ericales		nom. cons.
Diapensiaceae	family	Lindl.	Ericales		nom. cons.
Ebenaceae	family	Gürke	Ericales		nom. cons.
Ericaceae	family	Juss.	Ericales		nom. cons.
Fouquieriaceae	family	DC.	Ericales		nom. cons.
Lecythidaceae	family	A.Rich.	Ericales		nom. cons.
Marcgraviaceae	family	Bercht. & J.Presl	Ericales		nom. cons.
Mitrastemonaceae	family	Makino	Ericales		nom. cons.
Pentaphylacaceae	family	Engl.	Ericales		nom. cons.
Polemoniaceae	family	Juss.	Ericales		nom. cons.
Primulaceae	family	Batsch ex Borkh.	Ericales		nom. cons.
Roridulaceae	family	Martinov	Ericales		nom. cons.
